symbol, tokenAddress, rate, decimals
weth, 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2, 1, 18
steth, 0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84, 1, 18
eth, 0x0000000000000000000000000000000000000000, 1, 18
ibeth, 0x67B66C99D3Eb37Fa76Aa3Ed1ff33E8e39F0b9c7A, 1, 18
aeth, 0x3a3A65aAb0dd2A17E3F1947bA16138cd37d08c04, 1, 18
