symbol, tokenAddress, rate, decimals
wbtc, 0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599, 1, 8
hbtc, 0x0316EB71485b0Ab14103307bf65a021042c6d380, 1, 18
sbtc, 0xfE18be6b3Bd88A2D2A7f928d00292E7a9963CfC6, 1, 18
renbtc, 0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D, 1, 8
obtc, 0x8064d9Ae6cDf087b1bcd5BDf3531bD5d8C537a68, 1, 18
bbtc, 0x9BE89D2a4cd102D8Fecc6BF9dA793be995C22541, 1, 8
imbtc, 0x3212b29E33587A00FB1C83346f5dBFA69A458923, 1, 8
