dapp, proxy_contract, logic_contract, main_name, sol_path, version, attack_tx
bt_finance_eth,0xded1219B5Ba4DA3A9d57c9F12C0d5Da50F2fC4A2,0xded1219B5Ba4DA3A9d57c9F12C0d5Da50F2fC4A2,iVault,bt_finance_eth/0xded1219b5ba4da3a9d57c9f12c0d5da50f2fc4a2/0xded1219b5ba4da3a9d57c9f12c0d5da50f2fc4a2/SourceCode/bt_finance_eth.sol,0.5.16,0xc71cea6fa00d11e98f6733ee8740f239cb37b11dec29e7cf85d7a4077977fa65
qubit,0x20e5e35ba29dc3b540a1aee781d0814d5c77bce6,0x99309d2e7265528dc7c3067004cc4a90d37b7cc3,QBridge,qubit/0x20e5e35ba29dc3b540a1aee781d0814d5c77bce6/0x99309d2e7265528dc7c3067004cc4a90d37b7cc3/SourceCode/contracts/bridge/QBridge.sol,0.6.12,0x478d83f2ad909c64a9a3d807b3d8399bb67a997f9721fc5580ae2c51fab92acf
warp_finance,0x6046c3ab74e6ce761d218b9117d5c63200f4b406,0x6046c3ab74e6ce761d218b9117d5c63200f4b406,WarpVaultSC,warp_finance/0x6046c3ab74e6ce761d218b9117d5c63200f4b406/0x6046c3ab74e6ce761d218b9117d5c63200f4b406/SourceCode/WarpVaultSC.sol,0.6.0,0x8bb8dc5c7c830bac85fa48acad2505e9300a91c3ff239c9517d0cae33b595090
dydx_injection,0x53773fE5ff4451c896127Dd2c91b8dE7ac51Ba2C,0x53773fE5ff4451c896127Dd2c91b8dE7ac51Ba2C,,,0x8233d0e7185a3bc7f4c3b19fa00d0ffe751f07b723dc3f6aa7e06c68401b6dd7
meter_io,0xa2A22B46B8df38cd7C55E6bf32Ea5a32637Cf2b1,0xa2a22b46b8df38cd7c55e6bf32ea5a32637cf2b1,Bridge,meter_io/0xa2a22b46b8df38cd7c55e6bf32ea5a32637cf2b1/0xa2a22b46b8df38cd7c55e6bf32ea5a32637cf2b1/SourceCode/meter_io.sol,0.6.4,0xdfea6413c7eb3068093dcbbe65bcc9ba635e227c35e57fe482bb5923c89e31f7
indexed_finance,0xfa6de2697D59E88Ed7Fc4dFE5A33daC43565ea41,0x5bd628141c62a901e0a83e630ce5fafa95bbdee4,IndexPool,indexed_finance/0xfa6de2697d59e88ed7fc4dfe5a33dac43565ea41/0x5bd628141c62a901e0a83e630ce5fafa95bbdee4/SourceCode/temp-contracts/balancer/IndexPool.sol,0.6.12,0x44aad3b853866468161735496a5d9cc961ce5aa872924c5d78673076b1cd95aa
li_finance,0x5A9Fd7c39a6C488E715437D7b1f3C823d5596eD1,0x73a499e043b03fc047189ab1ba72eb595ff1fc8e,CBridgeFacet,li_finance/0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1/0x73a499e043b03fc047189ab1ba72eb595ff1fc8e/SourceCode/src/Facets/CBridgeFacet.sol,0.8.7,0x4b4143cbe7f5475029cf23d6dcbb56856366d91794426f2e33819b9b1aac4e96
nowswap,0x9536A78440f72f5E9612949F1848fe5E9D4934CC,0x9536A78440f72f5E9612949F1848fe5E9D4934CC,,nowswap/0x9536a78440f72f5e9612949f1848fe5e9d4934cc/0x9536a78440f72f5e9612949f1848fe5e9d4934cc/SourceCode/nowswap.sol,,0xf3158a7ea59586c5570f5532c22e2582ee9adba2408eabe61622595197c50713
array_finance,0xA800cDa5f3416A6Fb64eF93D84D6298a685D190d,0xa3f9145cb0b50d907930840bb2dcff4146df8ab4,SmartPoolManager,array_finance/0xa800cda5f3416a6fb64ef93d84d6298a685d190d/0xa3f9145cb0b50d907930840bb2dcff4146df8ab4/SourceCode/libraries/SmartPoolManager.sol,0.6.12,0xa17bbc7c9ab17aa88fdb5de83b41de982845e9c9c072efff6709dd29febf0daa
force_dao,0xe7f445b93eb9cdabfe76541cc43ff8de930a58e6,0xe7f445b93eb9cdabfe76541cc43ff8de930a58e6,MiniMeToken,force_dao/0xe7f445b93eb9cdabfe76541cc43ff8de930a58e6/0xe7f445b93eb9cdabfe76541cc43ff8de930a58e6/SourceCode/E/Defi/force/contracts/contracts/ForceProfitSharing.sol,0xdf05020d5d3c3a975627ce29f24b4eb8ccb8807f9f9c9aa05e644c61fe5f0141
dodo,0x051EBD717311350f1684f89335bed4ABd083a2b6,0x2bbd66fc4898242bdbd2583bbe1d76e8b8f71445,DVM,dodo/0x051ebd717311350f1684f89335bed4abd083a2b6/0x2bbd66fc4898242bdbd2583bbe1d76e8b8f71445/SourceCode/dodo.sol,0.6.9,0x395675b56370a9f5fe8b32badfa80043f5291443bd6c8273900476880fb5221e
cheese_bank,0x5E181bDde2fA8af7265CB3124735E9a13779c021,0x5E181bDde2fA8af7265CB3124735E9a13779c021,CErc20,cheese_bank/0x5e181bdde2fa8af7265cb3124735e9a13779c021/0x5e181bdde2fa8af7265cb3124735e9a13779c021/SourceCode/CErc20.sol,0.5.17,0x600a869aa3a259158310a233b815ff67ca41eab8961a49918c2031297a02f1cc
opyn,0x951D51bAeFb72319d9FBE941E1615938d89ABfe2,0x951D51bAeFb72319d9FBE941E1615938d89ABfe2,oToken,opyn/0x951d51baefb72319d9fbe941e1615938d89abfe2/0x951d51baefb72319d9fbe941e1615938d89abfe2/SourceCode/opyn.sol,0.5.10,0xa858463f30a08c6f3410ed456e59277fbe62ff14225754d2bb0b4f6a75fdc8ad
balancer,0x0e511Aa1a137AaD267dfe3a6bFCa0b856C1a3682,0x0e511Aa1a137AaD267dfe3a6bFCa0b856C1a3682,BPool,balancer/0x0e511aa1a137aad267dfe3a6bfca0b856c1a3682/0x0e511aa1a137aad267dfe3a6bfca0b856c1a3682/SourceCode/BPool.sol,0.5.12,0x013be97768b702fe8eccef1a40544d5ecb3c1961ad5f87fee4d16fdc08c78106
spankchain,0xf91546835f756DA0c10cFa0CDA95b15577b84aA7,0xf91546835f756DA0c10cFa0CDA95b15577b84aA7,LedgerChannel,spankchain/0xf91546835f756DA0c10cFa0CDA95b15577b84aA7/0xf91546835f756DA0c10cFa0CDA95b15577b84aA7/SourceCode/LedgerChannel.sol,0.4.23,0x21e9d20b57f6ae60dac23466c8395d47f42dc24628e5a31f224567a2b4effa88
snood,0x0F6b0960d2569f505126341085ED7f0342b67DAe,0x0F6b0960d2569f505126341085ED7f0342b67DAe,UniswapV2Pair,snood/0x0f6b0960d2569f505126341085ed7f0342b67dae/0x0f6b09/SourceCode/snood.sol,0.5.16,0x9a6227ef97d7ce75732645bd604ef128bb5dfbc1bfbe0966ad1cd2870d45a20e
gelato_network,0x14E6D67F824C3a7b4329d3228807f8654294e4bd,0x14E6D67F824C3a7b4329d3228807f8654294e4bd,,,0x90a5d10ca9092a82464fd87efb1a7ed06c0d0420fde0cbb20af6e7ec9046c303
